Name,Category,Price,Quantity,Expiration Date
Turkey,Meat,2.43,204,24/11/2026
Grapes,Fruits,1.1,217,23/04/2026
Corn,Canned Goods,5.68,209,12/07/2024
Broccoli,Vegetables,2.6,198,15/07/2026
Yogurt,Dairy,1.55,194,14/02/2026
Water,Beverages,1.36,180,03/07/2026
Tuna,Canned Goods,0.76,162,03/06/2026
Potato,Vegetables,6.12,239,24/04/2026
Coffee,Beverages,4.48,205,22/11/2026
Broccoli,Vegetables,5.53,245,24/09/2025
Eggs,Dairy,1.82,182,20/02/2025
Fish,Meat,5.67,233,25/05/2025
Chips,Snacks,5.59,182,04/05/2025
Beans,Canned Goods,8.99,216,01/07/2025
Chocolate,Snacks,9.91,183,08/07/2024
Chicken,Meat,2.3,207,18/06/2024
Cookies,Snacks,9.87,168,02/01/2024
Orange,Fruits,0.6,213,28/04/2024
Cookies,Snacks,6.24,161,05/04/2024
Beans,Canned Goods,6.73,217,14/01/2024
Juice,Beverages,8.22,163,04/12/2025
Nuts,Snacks,4.43,174,03/07/2026
Fish,Meat,8.47,237,19/06/2026
Chocolate,Snacks,4.12,240,07/10/2026
Soup,Canned Goods,4.63,246,01/09/2024
Tomato Sauce,Canned Goods,4.25,236,27/11/2025
Butter,Dairy,0.7,209,28/08/2026
Eggs,Dairy,2,183,18/02/2025
Grapes,Fruits,3.55,218,16/12/2025
Cookies,Snacks,2.06,190,20/04/2025
Tuna,Canned Goods,9.67,239,02/04/2024
Banana,Fruits,2.58,226,24/08/2025
Spinach,Vegetables,5.24,154,17/01/2026
Orange,Fruits,5.02,192,10/10/2026
Banana,Fruits,4.36,237,06/11/2025
Potato,Vegetables,5.78,200,27/10/2025
Tomato Sauce,Canned Goods,1.26,235,13/04/2026
Broccoli,Vegetables,7.06,232,23/01/2024
Grapes,Fruits,4.63,151,26/01/2025
Potato,Vegetables,4.15,224,12/03/2024
Turkey,Meat,5.53,158,12/11/2025
Spinach,Vegetables,7.96,210,13/07/2024
Fish,Meat,0.91,186,26/03/2024
Pork,Meat,9.73,246,14/10/2025
Tuna,Canned Goods,6.68,210,19/05/2025
Orange,Fruits,6.88,174,23/01/2025
Fish,Meat,0.93,195,25/02/2025
Chips,Snacks,6,151,21/02/2024
Tuna,Canned Goods,1.16,224,10/04/2025
Soda,Beverages,9.58,226,20/12/2024
Spinach,Vegetables,9.29,239,26/03/2024
Cookies,Snacks,2.31,167,09/05/2024
Coffee,Beverages,4.23,225,08/07/2024
Soup,Canned Goods,5.01,182,11/04/2025
Nuts,Snacks,5.98,238,24/12/2024
Banana,Fruits,8.23,234,24/09/2025
Eggs,Dairy,2.14,167,06/01/2024
Turkey,Meat,4.12,196,20/04/2026
Soda,Beverages,0.58,192,01/09/2024
Butter,Dairy,4.93,167,28/05/2024
Broccoli,Vegetables,3.78,201,27/10/2026
Orange,Fruits,7.72,192,28/01/2024
Chicken,Meat,9.19,169,01/11/2026
Pork,Meat,6.8,220,24/09/2024
Apple,Fruits,9.14,235,11/11/2025
Pork,Meat,6.08,212,24/09/2025
Chicken,Meat,1.65,241,21/01/2026
Cheese,Dairy,1.77,226,22/10/2025
Spinach,Vegetables,4.62,196,08/02/2024
Beef,Meat,1.36,209,14/05/2025
Broccoli,Vegetables,9.62,235,26/01/2026
Orange,Fruits,1.51,198,23/08/2024
Strawberry,Fruits,0.58,215,20/07/2024
Fish,Meat,9.07,192,18/10/2024
Tomato Sauce,Canned Goods,5.27,198,16/12/2026
Strawberry,Fruits,2.85,228,15/05/2025
Butter,Dairy,7.65,239,20/02/2026
Butter,Dairy,0.89,206,22/03/2026
Cookies,Snacks,2.04,185,23/01/2026
Pork,Meat,3.42,171,09/08/2024
Potato,Vegetables,0.88,180,24/02/2025
Juice,Beverages,6.4,231,16/08/2024
Fish,Meat,9.38,185,06/05/2026
Milk,Dairy,2.3,175,24/02/2024
Tea,Beverages,1.5,182,27/09/2025
Fish,Meat,6.3,238,08/12/2026
Orange,Fruits,6.31,213,10/11/2024
Fish,Meat,7.91,239,26/12/2026
Soup,Canned Goods,6.46,209,21/01/2024
Eggs,Dairy,2.97,172,11/01/2024
Chips,Snacks,6.19,170,07/04/2026
Cheese,Dairy,7.07,200,13/07/2025
Carrot,Vegetables,5.78,211,13/06/2025
Yogurt,Dairy,6.3,206,16/06/2024
Coffee,Beverages,7.6,185,05/11/2026
Soup,Canned Goods,2.83,227,04/06/2025
Cheese,Dairy,8.97,207,15/08/2026
Butter,Dairy,9.9,209,10/01/2024
Tuna,Canned Goods,9.26,151,15/01/2026
Chips,Snacks,4.51,208,12/10/2024
Spinach,Vegetables,0.8,170,28/05/2024
Corn,Canned Goods,2.35,176,03/08/2026
Soda,Beverages,6.8,216,13/03/2026
Cookies,Snacks,5.94,178,05/03/2026
Strawberry,Fruits,5.87,219,13/05/2026
Apple,Fruits,4.18,200,14/11/2026
Grapes,Fruits,1.84,208,25/02/2025
Fish,Meat,1.73,167,16/09/2025
Fish,Meat,8.67,244,20/01/2024
Tea,Beverages,5.66,221,05/02/2024
Chips,Snacks,8.11,155,04/06/2024
Butter,Dairy,8.66,209,14/06/2026
Water,Beverages,8.91,187,20/04/2026
Juice,Beverages,2.12,209,27/04/2025
Beef,Meat,2.96,183,06/02/2024
Chicken,Meat,2.16,232,21/08/2025
Chicken,Meat,0.52,235,16/08/2026
Cookies,Snacks,7.06,169,04/10/2025
Cookies,Snacks,6.23,158,06/03/2026
Cheese,Dairy,2.42,183,25/05/2025
Cookies,Snacks,6.29,177,05/12/2026
Strawberry,Fruits,1.1,182,09/07/2025
Corn,Canned Goods,3.57,154,13/09/2025
Beans,Canned Goods,2.9,227,17/03/2026
Banana,Fruits,8.24,196,26/08/2025
Coffee,Beverages,7.62,223,23/09/2024
Tuna,Canned Goods,4.94,217,16/01/2026
Milk,Dairy,1.09,242,06/06/2025
Banana,Fruits,8.7,190,10/07/2025
Soup,Canned Goods,7.68,179,25/04/2025
Corn,Canned Goods,9,207,04/05/2026
Potato,Vegetables,9.93,171,27/08/2024
Tomato,Vegetables,9.02,172,23/07/2025
Juice,Beverages,9.7,200,08/07/2026
Tomato,Vegetables,8.29,244,08/03/2024
Cookies,Snacks,9.89,190,04/08/2025
Tea,Beverages,2.48,239,02/11/2024
Soup,Canned Goods,3.81,162,16/05/2026
Milk,Dairy,7.91,185,20/02/2026
Turkey,Meat,5.65,215,12/07/2025
Apple,Fruits,6.42,190,28/02/2026
Orange,Fruits,7.07,217,17/09/2025
Chips,Snacks,8.41,217,19/10/2024
Soup,Canned Goods,9.43,228,13/04/2026
Coffee,Beverages,9.66,193,18/03/2026
Turkey,Meat,9.81,235,19/02/2024
Tomato,Vegetables,3.46,246,15/08/2026
Spinach,Vegetables,7.26,166,03/03/2025
Chips,Snacks,6.38,172,24/11/2026
Tomato Sauce,Canned Goods,7.31,245,03/02/2024
Corn,Canned Goods,0.76,150,17/10/2024
Pork,Meat,5.53,246,18/02/2025
Pork,Meat,7.83,159,20/03/2025
