Name         ,Category     ,Price ,Quantity ,Expiration Date
Pork         ,Meat         , 3.44 ,       8 ,2026-01-16
Banana       ,Fruits       , 5.69 ,      79 ,2025-12-05
Potato       ,Vegetables   , 8.13 ,      10 ,2026-01-28
Orange       ,Fruits       , 0.91 ,      45 ,2026-10-26
Yogurt       ,Dairy        , 2.92 ,      59 ,2026-07-27
Soup         ,Canned Goods , 1.02 ,       4 ,2026-11-10
Tuna         ,Canned Goods , 9.6  ,      92 ,2026-02-28
Chocolate    ,Snacks       , 1.33 ,      56 ,2026-06-11
Broccoli     ,Vegetables   , 2.0  ,      21 ,2025-09-12
Carrot       ,Vegetables   , 8.19 ,      52 ,2026-11-12
Tomato Sauce ,Canned Goods , 6.15 ,      60 ,2025-07-18
Coffee       ,Beverages    , 6.55 ,      45 ,2026-12-20
Beef         ,Meat         , 2.12 ,      46 ,2025-01-14
Fish         ,Meat         , 5.55 ,      26 ,2026-05-15
Orange       ,Fruits       , 0.58 ,      83 ,2026-05-12
Banana       ,Fruits       , 8.15 ,       1 ,2026-03-24
Spinach      ,Vegetables   , 3.02 ,      36 ,2025-04-27
Butter       ,Dairy        , 7.07 ,      91 ,2025-03-21
Corn         ,Canned Goods , 8.34 ,      30 ,2026-07-21
Pork         ,Meat         , 6.44 ,      27 ,2024-02-22
Cheese       ,Dairy        , 4.19 ,      82 ,2025-06-04
Chicken      ,Meat         , 4.67 ,      89 ,2026-01-06
Fish         ,Meat         , 5.16 ,      81 ,2024-11-11
Spinach      ,Vegetables   , 8.47 ,      82 ,2025-10-24
Soup         ,Canned Goods , 7.95 ,      97 ,2025-01-25
Beans        ,Canned Goods , 9.72 ,      35 ,2025-01-12
Broccoli     ,Vegetables   , 5.23 ,      15 ,2026-04-10
Eggs         ,Dairy        , 8.36 ,      25 ,2026-05-24
Coffee       ,Beverages    , 6.48 ,      87 ,2025-12-06
Coffee       ,Beverages    , 2.58 ,      26 ,2026-05-24
Yogurt       ,Dairy        , 4.21 ,      29 ,2026-09-23
Chicken      ,Meat         , 0.49 ,      87 ,2025-08-08
Pork         ,Meat         , 7.86 ,      30 ,2025-12-16
Pork         ,Meat         , 8.0  ,      79 ,2024-07-14
Juice        ,Beverages    , 9.04 ,      77 ,2026-02-17
Tuna         ,Canned Goods , 0.7  ,      62 ,2025-08-13
Nuts         ,Snacks       , 1.33 ,      39 ,2024-12-08
Orange       ,Fruits       , 0.95 ,      55 ,2025-03-10
Nuts         ,Snacks       , 2.75 ,      98 ,2026-05-16
Butter       ,Dairy        , 9.19 ,      86 ,2024-10-22
Tea          ,Beverages    , 8.37 ,      87 ,2025-07-14
Tuna         ,Canned Goods , 1.87 ,      25 ,2026-07-24
