Name,Category,Price,Quantity,Expiration Date
Turkey,Meat,2.43,10,24/11/2026
Grapes,Fruits,1.1,10,23/04/2026
Corn,Canned Goods,5.68,10,12/07/2024
Broccoli,Vegetables,2.6,10,15/07/2026
Yogurt,Dairy,1.55,10,14/02/2026
Water,Beverages,1.36,10,03/07/2026
Tuna,Canned Goods,0.76,10,03/06/2026
Potato,Vegetables,6.12,10,24/04/2026
Coffee,Beverages,4.48,10,22/11/2026
Broccoli,Vegetables,5.53,10,24/09/2025
Eggs,Dairy,1.82,10,20/02/2025
Fish,Meat,5.67,10,25/05/2025
Chips,Snacks,5.59,10,04/05/2025
Beans,Canned Goods,8.99,10,01/07/2025
Chocolate,Snacks,9.91,10,08/07/2024
Chicken,Meat,2.3,10,18/06/2024
Cookies,Snacks,9.87,10,02/01/2024
Orange,Fruits,0.6,10,28/04/2024
Cookies,Snacks,6.24,10,05/04/2024
Beans,Canned Goods,6.73,10,14/01/2024
Juice,Beverages,8.22,10,04/12/2025
Nuts,Snacks,4.43,10,03/07/2026
Fish,Meat,8.47,10,19/06/2026
Chocolate,Snacks,4.12,10,07/10/2026
Soup,Canned Goods,4.63,10,01/09/2024
Tomato Sauce,Canned Goods,4.25,10,27/11/2025
Butter,Dairy,0.7,10,28/08/2026
Eggs,Dairy,2,10,18/02/2025
Grapes,Fruits,3.55,10,16/12/2025
Cookies,Snacks,2.06,10,20/04/2025
Tuna,Canned Goods,9.67,10,02/04/2024
Banana,Fruits,2.58,10,24/08/2025
Spinach,Vegetables,5.24,10,17/01/2026
Orange,Fruits,5.02,10,10/10/2026
Banana,Fruits,4.36,10,06/11/2025
Potato,Vegetables,5.78,10,27/10/2025
Tomato Sauce,Canned Goods,1.26,10,13/04/2026
Broccoli,Vegetables,7.06,10,23/01/2024
Grapes,Fruits,4.63,10,26/01/2025
Potato,Vegetables,4.15,10,12/03/2024
Turkey,Meat,5.53,10,12/11/2025
Spinach,Vegetables,7.96,10,13/07/2024
